"t";"n";"year";"MIU";"ABATECOST";"ABATECOST_ED";"ABATECOST_PB";"ABATEEMI";"C";"DAMAGES";"DAMFRAC";"E";"EIND";"I";"K";"S";"Y";"YGROSS";"L";"scc";"photel";"exp_id";"reg_n_id"
10;"bgr";2060;0;0;0;0;0;0,0603326442565231;0,0166457840409775;0,166666666666667;0,0429962273882367;0,0278051726522059;0,0228962759483646;0,23431492947822;0,2751;0,0832289202048877;0,0998747042458652;6,121;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_bgr"
10;"blt";2060;0;0;0;0;0;0,0830112320003535;0,0229028092151617;0,166666666666667;0,0505362303277831;0,0353451755917524;0,0315028140754549;0,340788622138325;0,2751;0,114514046075808;0,13741685529097;5,521;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_blt"
10;"bra";2060;0;0;0;0;0;2,06507199043825;0,569753618551042;0,166666666666667;0,758401626632192;0,743210571896162;0,783696102316958;7,93392848521929;0,2751;2,84876809275521;3,41852171130625;228,665;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_bra"
10;"can";2060;0;0;0;0;0;1,72096018418003;0,474813128481178;0,166666666666667;0,602093808914826;0,586902754178795;0,653105458225861;6,70491041801765;0,2751;2,37406564240589;2,84887877088707;50,465;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_can"
10;"chl";2060;0;0;0;0;0;0,321621592378386;0,0887354372681434;0,166666666666667;0,122861812721525;0,107670757985494;0,122055593962331;1,20654213605375;0,2751;0,443677186340717;0,532412623608861;20,369;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_chl"
10;"chn";2060;0;0;0;0;0;12,9794713023451;3,581037743784;0,166666666666667;15,1835601936886;15,1683691389525;4,92571741657489;52,9308578141349;0,2751;17,90518871892;21,486226462704;1163,794;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_chn"
10;"cor";2060;0;0;0;0;0;1,59110994914191;0,438987432512597;0,166666666666667;0,829892929256741;0,814701874520711;0,603827213421077;6,63603456454664;0,2751;2,19493716256298;2,63392459507558;42,906;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_cor"
10;"cro";2060;0;0;0;0;0;0,0494609202080688;0,0136462740262295;0,166666666666667;0,0292118128282669;0,0140207580922361;0,0187704499230787;0,204413562026383;0,2751;0,0682313701311474;0,0818776441573769;3,95;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_cro"
10;"dnk";2060;0;0;0;0;0;0,32466093334475;0,0895739918181127;0,166666666666667;0,0474762512021827;0,0322851964661519;0,123209025745814;1,23638581636484;0,2751;0,447869959090564;0,537443950908676;6,825;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_dnk"
10;"egy";2060;0;0;0;0;0;0,580232172984486;0,160086128565177;0,166666666666667;0,801944766919592;0,786753712183561;0,220198469841402;1,86730973671559;0,2751;0,800430642825887;0,960516771391065;130,529;0;0;"expSIMtest_enerdata56_ssp2_noncoop_clWITCHco2_damBURKESR_SRfix_polBAU_xxBurkeEsteem_iso3_omega2";"enerdata56_egy"
